,name,year,constr_sched,depr_sched,fuel_sched,meth_sched,carb_sched,cap,cap_fac,fx_om_c,heat_rate,kgCO2 per MWh,on_c,trans_cost,vr_om_c,waste_fee,non_carbon_c,leak_rate,fl_c,fl_real,equiv_cap,equiv_cap_fac,cap_fac_max,hybrid_tax,hybrid_wacc,inf,om,fl,disc,backup_constr_sched,backup_depr_sched,backup_fuel_sched,backup_meth_sched,backup_carb_sched,backup_cap,backup_cap_fac,backup_fx_om_c,backup_heat_rate,backup_kgCO2 per MWh,backup_on_c,backup_trans_cost,backup_vr_om_c,backup_waste_fee,backup_non_carbon_c,backup_leak_rate,backup_fl_c,backup_fl_real,backup_fl,backup_disc,backup_cf_mean
0,coal,2015,0.0,0.0,0.0,1273.9502,45.8601,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,coal,2016,0.0,0.0,0.0,1324.9082,47.3895,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,coal,2017,0.0,0.0,0.0,1375.8662,48.9189,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,coal,2018,0.0,0.0,0.0,1426.8242,50.4482,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,coal,2019,0.0,0.0,2.097499,1477.7822,51.9776,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,coal,2020,0.15,0.0,2.108173,1528.7402,53.5069,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.02,1.02,1.025190696157662,0.9389671361502347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,coal,2021,0.4,0.0,2.074169,1579.6983,54.5265,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.0404,1.0404,1.0288278695722857,0.8816592827701736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,coal,2022,0.3,0.0,2.045519,1630.6563,55.5461,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.0612080000000002,1.0612080000000002,1.0349092547610275,0.8278490918029798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,coal,2023,0.15,0.0,2.023063,1681.6143,56.5657,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.08243216,1.08243216,1.0440188304767155,0.7773230908948168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,coal,2024,0.0,0.0375,2.016389,1732.5723,57.5749,650.0,85.0,41.38,8638.0,979.0,3748.86,0.11,4.59,0.0,4.08,0.0,2.097499,0.0,0.0,0.0,0.0,0.0,0.0,1.1040808032,1.1040808032,1.061386149258543,0.7298808365209549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
